agency_id,linea,hora,total_trips,trips_ok,trips_route_match,total_pts_in,total_pts_out,pct_trips_ok,pct_route_match,pct_pts_in
0005,101,10,4,2,0,398,356,0.5,0.0,0.528
0005,111,10,11,11,0,1823,22,1.0,0.0,0.988
0005,12,10,2,2,0,346,0,1.0,0.0,1.0
0005,15,10,8,8,0,1182,4,1.0,0.0,0.997
0005,23-33,10,46,23,0,3765,3061,0.5,0.0,0.552
0005,34,10,4,0,0,0,424,0.0,0.0,0.0
0005,47,10,4,4,0,596,0,1.0,0.0,1.0
0005,48,10,5,3,0,587,190,0.6,0.0,0.755
0005,58,10,6,4,0,648,342,0.667,0.0,0.655
0005,,10,5,0,0,0,455,0.0,0.0,0.0
0007,111,10,3,0,0,0,407,0.0,0.0,0.0
0007,12,10,27,17,0,2526,1586,0.63,0.0,0.614
0007,128,10,10,0,0,0,1777,0.0,0.0,0.0
0007,13,10,1,0,0,0,184,0.0,0.0,0.0
0007,15,10,6,0,0,55,851,0.0,0.0,0.061
0007,2,10,2,1,0,171,238,0.5,0.0,0.418
0007,23-33,10,54,20,0,3469,5794,0.37,0.0,0.375
0007,50,10,12,6,0,635,1182,0.5,0.0,0.349
0007,52-26,10,1,1,0,5,0,1.0,0.0,1.0
0007,56,10,15,7,0,980,1174,0.467,0.0,0.455
0007,58,10,5,5,0,899,0,1.0,0.0,1.0
0007,88,10,3,3,0,578,0,1.0,0.0,1.0
0007,I4312,10,1,0,0,0,160,0.0,0.0,0.0
0007,,10,2,0,0,0,367,0.0,0.0,0.0
000A,111,10,1,0,0,0,7,0.0,0.0,0.0
000A,12,10,4,0,0,29,747,0.0,0.0,0.037
000A,128,10,1,0,0,0,76,0.0,0.0,0.0
000A,15,10,4,0,0,0,699,0.0,0.0,0.0
000A,23-33,10,9,0,0,0,1593,0.0,0.0,0.0
000A,38,10,4,0,0,0,640,0.0,0.0,0.0
000A,47,10,1,0,0,0,136,0.0,0.0,0.0
000A,56,10,6,0,0,23,847,0.0,0.0,0.026
000A,58,10,1,0,0,0,8,0.0,0.0,0.0
000B,2,10,1,0,0,0,122,0.0,0.0,0.0
000B,23-33,10,1,0,0,0,198,0.0,0.0,0.0
0014,111,10,2,0,0,0,326,0.0,0.0,0.0
0014,23-24,10,2,0,0,0,360,0.0,0.0,0.0
0014,23-33,10,8,0,0,0,1228,0.0,0.0,0.0
0014,34,10,1,0,0,0,30,0.0,0.0,0.0
0014,56,10,1,0,0,0,153,0.0,0.0,0.0
0017,101,10,5,0,0,0,567,0.0,0.0,0.0
0017,111,10,2,0,0,0,206,0.0,0.0,0.0
0017,23-24,10,1,0,0,0,202,0.0,0.0,0.0
0017,23-33,10,19,0,0,0,3489,0.0,0.0,0.0
0017,34,10,8,0,0,0,1561,0.0,0.0,0.0
0017,40,10,2,0,0,0,33,0.0,0.0,0.0
0017,44,10,17,0,6,0,2233,0.0,0.353,0.0
0017,58,10,3,0,0,0,493,0.0,0.0,0.0
0020,101,10,4,1,0,127,294,0.25,0.0,0.302
0020,111,10,2,1,0,1,16,0.5,0.0,0.059
0020,12,10,6,3,0,862,882,0.5,0.0,0.494
0020,128,10,19,5,0,966,1957,0.263,0.0,0.33
0020,2,10,1,0,0,0,18,0.0,0.0,0.0
0020,23-33,10,25,12,0,2826,2923,0.48,0.0,0.492
0020,50,10,2,0,0,0,105,0.0,0.0,0.0
0020,56,10,8,1,0,315,1119,0.125,0.0,0.22
0020,58,10,25,9,0,1996,2849,0.36,0.0,0.412
0020,96,10,45,10,0,703,3807,0.222,0.0,0.156
0020,,10,1,0,0,0,105,0.0,0.0,0.0
0022,101,10,5,4,2,388,128,0.8,0.4,0.752
0022,13,10,1,1,0,14,0,1.0,0.0,1.0
0022,23-33,10,10,7,0,1030,443,0.7,0.0,0.699
0022,44,10,1,1,0,87,38,1.0,0.0,0.696
0025,111,10,16,11,4,1919,745,0.688,0.25,0.72
0025,23-33,10,1,0,0,0,164,0.0,0.0,0.0
002D,111,10,7,7,0,1245,4,1.0,0.0,0.997
002D,,10,1,0,0,0,139,0.0,0.0,0.0
