agency_id,route_id,ruta_hex,total_trips,trips_ok
0022,0110,008C,2,7
0007,016C,008C,2,0
0005,001E,008C,2,0
0007,0098,00E6,2,3
0005,001D,008C,2,0
0007,0045,0051,2,0
0007,0036,008C,2,3
0007,0098,003A,2,2
0005,0027,011E,2,4
0007,0036,00EE,2,2
0007,003A,011E,2,0
0005,0102,0055,2,4
0020,01B6,0108,2,0
0007,006E,008C,2,0
0007,003B,008C,2,0
0007,0042,00EE,2,0
0007,0034,00EE,2,2
0020,01ED,00FD,2,0
0020,01ED,0108,2,0
0020,01ED,010B,2,0
0007,0044,0124,2,0
000A,0060,00EE,2,0
0014,00B8,008C,2,0
0014,00B9,008C,2,0
0017,015E,01BB,2,0
0020,0072,010B,2,4
0020,0073,010B,2,2
0020,0075,010B,2,2
0020,0075,0124,2,0
0020,0076,010B,2,0
0020,0109,0108,2,2
0020,010B,00E6,2,0
0020,010B,0108,2,0
0020,0152,0108,2,0
0020,0152,0124,2,3
0020,0153,0108,2,0
0020,0171,0108,2,0
0020,0172,0108,2,0
0005,0021,008C,2,15
0005,0026,011E,1,1
0005,0027,008C,1,0
0005,0028,008C,1,1
0005,0102,0051,1,4
0005,0102,00FD,1,2
0005,0103,008C,1,1
0005,0103,00FD,1,2
0005,271B,008C,1,0
0005,271B,00B1,1,0
0005,271B,00FD,1,0
0005,271B,NONE,1,0
0005,271C,008C,1,0
0005,271C,00B1,1,0
0005,271C,0114,1,0
0005,271C,NONE,1,0
0007,0034,003A,1,3
0007,0034,008C,1,2
0007,0034,0167,1,3
0007,0035,003A,1,1
0007,0035,008C,1,2
0007,0036,003A,1,3
0007,0036,00E6,1,1
0007,0036,0167,1,1
0007,0037,003A,1,1
0007,0037,008C,1,3
0007,0038,008C,1,2
0007,0038,0167,1,1
0007,0039,011E,1,0
0007,003A,0051,1,0
0007,003A,008C,1,0
0007,003A,0197,1,0
0007,003B,0051,1,0
0005,0102,0167,1,2
0007,003B,0167,1,0
0007,003C,008C,1,0
0007,003E,008C,1,0
0007,0040,008C,1,0
0007,0040,00E6,1,0
0007,0040,00EE,1,0
0007,0040,0124,1,0
0007,0041,0051,1,0
0007,0041,008C,1,0
0007,0041,00E6,1,0
0007,0042,008C,1,0
0007,0042,00E6,1,0
0007,0042,0167,1,0
0007,0042,NONE,1,0
0007,0043,008C,1,0
0007,0043,00EE,1,0
0007,0044,008C,1,0
0007,0044,00EE,1,0
0007,0044,0167,1,0
0007,0044,01F7,1,0
0007,0045,008C,1,0
0007,0045,0124,1,0
0007,0045,0167,1,0
0007,0046,008C,1,0
0007,0046,00E6,1,0
0007,0046,0124,1,0
0007,0046,0167,1,0
0007,0046,NONE,1,0
0007,0047,008C,1,0
0007,0047,0124,1,0
0007,0048,008C,1,0
0007,0048,00EE,1,0
0007,0048,0124,1,0
0007,0049,008C,1,0
0007,0049,0124,1,0
0007,006E,0002,1,0
0007,006E,003A,1,0
0007,006E,00EE,1,0
0007,006F,008C,1,0
0007,0098,008C,1,3
0007,0098,00EE,1,3
0007,0098,00FD,1,4
0007,0098,0104,1,3
0007,0098,015B,1,1
0007,0099,008C,1,5
0007,0099,00E6,1,2
0007,0099,00FD,1,1
0007,0099,0167,1,1
0007,0166,0167,1,1
0007,0167,0002,1,1
0007,016C,0051,1,0
0007,016C,0124,1,0
0007,018A,00E6,1,0
0007,0190,008C,1,0
000A,005A,008C,1,0
000A,005A,00CE,1,0
000A,005A,011E,1,0
000A,005B,0051,1,0
000A,005B,00CE,1,0
000A,005B,00EE,1,0
000A,005B,00FD,1,0
000A,005B,0167,1,0
000A,005B,0186,1,0
000A,005C,008C,1,0
000A,005C,00EE,1,0
000A,005C,0124,1,0
000A,005C,0167,1,0
000A,005D,0051,1,0
0005,001F,001E,1,0
000A,0060,0167,1,0
000A,0155,0051,1,0
000A,0155,008C,1,0
000A,015A,008C,1,0
000A,015A,00CE,1,0
000A,015A,00EE,1,0
000A,015C,0051,1,0
000B,006B,0002,1,0
000B,006B,008C,1,0
002D,0141,011E,1,3
0014,00B8,00B1,1,0
0014,00B8,011E,1,0
0014,00B9,0080,1,0
0005,001D,001E,1,0
0014,00B9,00EE,1,0
0017,00D8,008C,1,0
0017,00D8,00B1,1,0
0017,00D8,011E,1,0
0017,00DA,0082,1,0
0017,00DA,008C,1,0
0017,00DA,0114,1,0
0017,00DB,008C,1,0
0017,00DB,00FD,1,0
0017,00DB,0114,1,0
0017,015E,008C,1,0
0017,015E,00B1,1,0
0017,015E,00FD,1,0
0017,015E,0114,1,0
0017,015E,011E,1,0
0017,015E,015E,1,0
0005,001D,00B1,1,0
0017,015E,01C7,1,0
0017,015F,008C,1,0
0017,01B9,008C,1,0
0017,01B9,01BB,1,0
0017,01B9,01C7,1,0
0017,01BB,008C,1,0
0017,01BB,01BB,1,0
0017,01BC,00B1,1,0
0020,0072,008C,1,2
0005,001D,00FD,1,0
0005,0025,008C,1,1
0020,0074,008C,1,2
0020,0074,00FD,1,2
0020,0075,008C,1,1
0020,01B5,0108,1,0
0020,01B5,011E,1,0
0020,0076,008C,1,2
