"eot_id","eot_nombre","eot_linea","cod_catalogo","cod_planilla","cod_epas","cod_tdp","situacion","gre_id","autorizado","operativo","reserva","permisionario","operativo_declarado","reserva_declarada","id_eot_vmt_hex","e_mail"
1,"CERRO KOI SA","110",36,"110                           ","34                            ","110                           ",1,1,40,37,3,True,30,0,"0024","cerrokoisa37@gmail.com"
2,"YPACARAI SA","242",45,"242                           ","                              ","242                           ",1,2,15,14,1,True,12,0,"002D","areguatransporte@gmail.com"
3,"1° De Mayo.-Linea 133","133",39,"133                           ","50                            ","133                           ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
4,"16 DE NOVIEMBRE SRL","233",44,"233                           ","6                             ","233                           ",1,1,24,22,2,True,20,0,"002C","16denoviembresrl@gmail.com"
5,"1° DE DICIEMBRE SRL","41",22,"41                            ","18                            ","41                            ",1,1,30,27,3,True,23,0,"0016","linea41py@gmail.com"
6,"3 DE FEBRERO SA","454",46,"454                           ","26                            ","454                           ",1,1,55,50,5,True,50,4,"002E","empresa3defebrero@gmail.com"
7,"ALDANA SA","21-96",32,"2196                          ","23                            ","21y96                         ",1,3,125,114,11,True,109,0,"0020","ttasa.linea96@gmail.com"
8,"AREGUEÑA SA","111",37,"111                           ","                              ","111                           ",1,2,30,27,3,True,20,0,"0025","areguatransporte@gmail.com"
9,"AUTOMOTORES GUARANI SRL","15-1-2-3-47",8,"151547                        ","32                            ","15(1),15(2),15(3),47          ",1,1,160,150,10,True,124,0,"0008","sosadavid@gmail.com"
10,"Automotores Guaraní SACI Línea 15-4","15-4",9,"15                            ","2                             ","15(4)                         ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
11,"CAMPO LIMPIO SA","36",20,"36                            ","                              ","36                            ",1,3,55,50,5,True,24,0,"0014","campolimpiosociedadanonima@gmail.com"
12,"CAPIATA SRL","53-58-128",27,"5358                          ","51                            ","53,58                         ",1,1,114,104,10,True,104,5,"001B","capiatasrl@gmail.com"
13,"Choferes del Chaco S.A. - Línea 20","20",12,"20                            ","55                            ","20                            ",1,0,NULL,NULL,NULL,False,0,0,NULL,NULL
